agent,P1,P1,P2,P2,P3,P3,P4,P4
,alive,terminated,alive,terminated,alive,terminated,alive,terminated
world,,,,,,,,
SMALL1,False,True,True,False,True,True,True,True
SMALL2,False,True,True,True,True,True,True,True
SMALL3,False,True,True,False,True,False,True,False
SMALL4,False,True,True,False,True,False,True,False
SMALL5,False,True,True,False,True,True,True,True
SMALL6,False,True,True,True,True,True,True,True
SMALL7,False,True,True,True,True,True,True,True
SMALL8,False,True,True,False,True,False,True,False
SMALL9,False,True,True,False,True,False,True,False
SMALL10,False,True,True,False,True,False,True,False
MEDIUM1,False,True,True,False,True,False,True,False
MEDIUM2,False,True,True,False,True,False,True,False
MEDIUM3,False,True,True,False,True,True,True,True
MEDIUM4,False,True,True,False,True,False,True,False
MEDIUM5,False,True,True,False,True,False,True,False
MEDIUM6,False,True,True,False,True,False,True,False
MEDIUM7,False,True,True,False,True,False,True,False
MEDIUM8,False,True,True,False,True,False,True,False
MEDIUM9,False,True,True,True,True,True,True,True
MEDIUM10,False,True,True,False,True,True,True,True
LARGE1,False,True,True,False,True,False,True,False
LARGE2,False,True,True,False,True,False,True,False
LARGE3,False,True,True,False,True,False,True,False
LARGE4,False,True,True,False,True,False,True,False
LARGE5,False,True,True,False,True,False,True,False
LARGE6,False,True,True,False,True,False,True,False
LARGE7,False,True,True,False,True,False,True,False
LARGE8,False,True,True,False,True,False,True,False
LARGE9,False,True,True,False,True,False,True,False
LARGE10,False,True,True,False,True,False,True,False
